category_code,category_name,provider,vector,source_name,raw_value_usd,data_year,target_year,cci_data_year,cci_target_year,year_escalation_factor,year_escalated_value,source_mw,target_mw,power_law_exponent,mw_scale_factor,mw_scaled_value,final_normalized_value,normalization_steps,confidence_label,confidence_score,evidence_url,timestamp
VIB_MON,Vibration Monitoring System,BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Vibration Monitoring System,268250,2024,2024,100.0,100.0,1.0,268250,50.0,50.0,0.7,1.0,268250,268250,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.155483+00:00
INLET_AIR,Inlet Air Filtering System,BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Inlet Air Filtering System,525150,2024,2024,100.0,100.0,1.0,525150,50.0,50.0,0.7,1.0,525150,525150,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.156145+00:00
FUEL_GAS,Fuel Gas System,BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Fuel Gas System,700600,2024,2024,100.0,100.0,1.0,700600,50.0,50.0,0.7,1.0,700600,700600,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.156486+00:00
LUBE_OIL,Lube Oil System,BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Lube Oil System,288900,2024,2024,100.0,100.0,1.0,288900,50.0,50.0,0.7,1.0,288900,288900,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.157053+00:00
EXHAUST,Exhaust System,BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Exhaust System,430650,2024,2024,100.0,100.0,1.0,430650,50.0,50.0,0.7,1.0,430650,430650,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.157412+00:00
COOLING,Cooling / Cooling Water System,BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Cooling / Cooling Water System,225450,2024,2024,100.0,100.0,1.0,225450,50.0,50.0,0.7,1.0,225450,225450,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.157761+00:00
FIRE_FIGHT,Fire Fighting System,BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Fire Fighting System,229400,2024,2024,100.0,100.0,1.0,229400,50.0,50.0,0.7,1.0,229400,229400,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.158262+00:00
PIPING_VALVES,Piping and Valves (BOP interconnect),BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Piping and Valves (BOP interconnect),507600,2024,2024,100.0,100.0,1.0,507600,50.0,50.0,0.7,1.0,507600,507600,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.159143+00:00
ELEC_DIST,Electrical Distribution (Auxiliary),BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Electrical Distribution (Auxiliary),535050,2024,2024,100.0,100.0,1.0,535050,50.0,50.0,0.7,1.0,535050,535050,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.159490+00:00
CONTROLS_DCS,Controls / DCS Integration,BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Controls / DCS Integration,504600,2024,2024,100.0,100.0,1.0,504600,50.0,50.0,0.7,1.0,504600,504600,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.159908+00:00
ACOUSTIC,Acoustic Enclosure / Noise Control,BOM_LIBRARY,COMPONENT_BOM,W251 BOM decomposition — Acoustic Enclosure / Noise Control,305100,2024,2024,100.0,100.0,1.0,305100,50.0,50.0,0.7,1.0,305100,305100,Year: no escalation needed (2024 = target year) | MW: no scaling needed (source MW = target MW = 50.0),COMPONENT_BUILDUPS,65,,2026-04-10T20:23:36.160146+00:00
